ID,Year,Author,Title,Genre,Rating,Gender
Triplanetary,1948,"E.E. ""Doc"" Smith",Triplanetary,space opera,3.65,Male
Twenty Thousand Leagues under the Sea by Jules Verne,1869,Jules Verne,Twenty Thousand Leagues Under the Sea,steampunk,3.89,Male
Utopia,1516,Thomas More,Utopia,dystopia,3.55,Male
Watership Down ( PDFDrive ),1972,Richard Adams,Watership Down,dystopia,4.06,Male
Welcome to the Monkey House ( PDFDrive ),1968,Kurt Vonnegut Jr.,Welcome to the Monkey House,dystopia,4.11,Male
When the Sleeper Wakes,1899,H.G. Wells,When the Sleeper Wakes,dystopia,3.41,Male
Who Goes There_Book,1938,John W. Campbell Jr.,Who Goes There,alines,3.86,Male
A Court of Thorns and Roses,2015,Sarah J. Maas,A Court of Thorns and Roses,alternate universe,4.22,Female
Catching Fire,2009,Suzanne Collins,Catching Fire,alternate history,4.29,Female
City of Bones,2007,Cassandra Clare,City of Bones,alternate universe,4.09,Female
Clockwork Princess,2013,Cassandra Clare,Clockwork Princess,alternate history,4.56,Female
Cress,2014,Marissa Meyer,Cress,alines,4.42,Female
Crown of Midnight,2013,Sarah J. Maas,Crown of Midnight,alternate universe,4.4,Female
Divergent,2011,Veronica Roth,Divergent,alternate history,4.19,Female
Enders Game,1985,Orson Scott Card,Ender's Game,alines,4.3,Male
Good Omens The Nice and Accurate Prophecies of Agnes Nutter Witch,1990,Terry Pratchett,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",alternate history,4.24,Male
Guards Guards,1989,Terry Pratchett,Guards! Guards,alternate universe,4.3,Male
Harry Potter and the Chamber of Secrets,1998,J.K. Rowling,Harry Potter and the Chamber of Secrets,alternate universe,4.43,Female
Harry Potter and the Sorcerer_s Stone,1997,J.K. Rowling,Harry Potter and the Sorcerer's Stone,alternate universe,4.48,Female
Insurgent,2012,Veronica Roth,Insurgent,apocalyptic,4.02,Female
Outlander,1991,Diana Gabaldon,Outlander,alternate history,4.23,Female
Ready-Player-One,2011,Ernest Cline,Ready Player One,alternate history,4.25,Male
Red-Queen,2015,Victoria Aveyard,Red Queen,apocalyptic,4.04,Female
Scarlet,2013,Marissa Meyer,Scarlet,alines,4.27,Female
SPEAKER-FOR-THE-DEAD-_c_-1986-Orson-Scott-Card,1986,Orson Scott Card,Speaker for the Dead,alines,4.07,Male
The Girl with the Dragon Tattoo,2005,Stieg Larsson,The Girl with the Dragon Tattoo,cyberpunk,4.14,Male
The Giver,1993,Lois Lowry,The Giver,cyberpunk,4.13,Female
The Handmaids Tale,1985,Margaret Atwood,The Handmaid's Tale,alternate history,4.12,Female
The Hunger Games,2008,Suzanne Collins,The Hunger Games,alternate history,4.33,Female
The Invisible Life of Addie LaRue,2020,V.E. Schwab,The Invisible Life of Addie LaRue,time travel,4.37,Female
The Last Wish,1993,Andrzej Sapkowski,The Last Wish,alternate universe,4.12,Male
The Lightning Thief,2005,Rick Riordan,The Lightning Thief,alternate universe,4.26,Male
The Martian,2012,Andy Weir,The Martian,robot,4.4,Male
The Maze Runner,2009,James Dashner,The Maze Runner,apocalyptic,4.03,Male
The-Girl-Who-Played-with-Fire,2006,Stieg Larsson,The Girl Who Played with Fire,cyberpunk,4.24,Male
The-One,2014,Kiera Cass,The One,apocalyptic,4.19,Female
Throne-of-Glass,2012,Sarah J. Maas,Throne of Glass,alternate universe,4.2,Female
